Straw_weight_Anyang_2016
18.85
7.88
10.75
9.85
6.75
11.45
6.3
14.12
7.42
19.23
14.93
11.6
11.38
16.52
16.65
18.38
8.03
14.3
8.5
11.57
10.2
11.12
18.0
13.07
11.07
8.8
6.92
21.05
19.18
12.1
13.57
15.65
15.1
20.6
7.62
10.7
7.75
16.65
18.7
7.5
8.38
6.92
7.9
7.88
6.05
10.82
10.72
4.6
8.4
5.22
4.5
7.8
28.73
14.62
8.55
6.0
6.75
7.65
6.2
5.92
15.62
17.35
7.47
8.97
6.6
22.85
5.45
12.32
10.18
8.73
12.45
19.7
13.53
7.55
4.82
4.38
6.35
12.3
14.3
8.45
11.65
8.9
10.12
11.2
14.45
10.38
9.5
8.65
17.0
5.82
5.5
9.95
6.8
6.82
8.8
5.1
16.82
2.88
11.4
4.42
7.25
5.0
5.62
7.97
6.72
7.25
6.0
4.82
15.23
12.15
18.65
16.25
6.32
8.53
9.1
10.28
8.38
8.97
5.75
7.4
2.85
5.25
5.68
12.2
25.75
7.03
5.0
2.8
3.7
8.05
10.65
5.1
8.47
13.18
8.5
13.03
10.82
8.68
13.22
5.0
4.3
13.62
5.7
5.25
6.42
12.05
7.3
12.93
11.18
10.0
5.2
9.95
16.05
15.03
17.98
12.35
4.97
19.95
9.0
11.38
9.4
24.42
26.58
23.12
24.12
13.72
13.62
5.4
6.9
4.22
26.2
11.05
13.07
12.93
7.5
11.43
17.3
9.68
13.25
6.88
8.5
11.9
15.9
13.28
17.4
5.82
7.47
9.3
10.6
13.4
18.0
13.13
11.43
26.85
28.12
7.8
7.47
7.3
18.75
11.78
7.32
4.7
13.57
8.65
13.6
12.07
12.45
3.45
13.07
6.25
12.25
14.68
11.9
11.28
12.1
13.68
10.0
12.85
13.07
13.93
16.75
9.93
15.25
12.18
14.75
22.28
12.8
15.45
8.95
10.65
3.92
10.53
17.95
12.3
14.5
13.65
9.2
7.72
15.85
17.88
15.95
21.05
13.05
13.45
8.05
14.22
10.45
24.73
7.4
10.95
9.12
10.3
15.0
8.07
12.25
9.15
13.03
10.8
9.93
9.15
6.47
9.88
7.95
5.58
10.25
13.93
9.3
11.45
7.68
20.32
11.9
14.68
3.22
7.5
13.67
10.55
16.05
11.9
10.25
18.77
6.78
7.53
4.3
3.3
11.65
8.72
9.32
16.45
8.78
18.08
9.3
19.42
8.53
6.7
10.8
12.07
16.18
13.07
13.82
12.35
11.62
3.78
2.72
13.9
6.03
5.18
4.47
8.4
12.7
11.35
8.7
7.42
16.27
13.47
5.95
9.32
14.8
7.15
17.85
15.82
14.93
7.9
14.98
17.52
15.45
4.88
17.9
18.95
14.28
12.4
12.15
10.35
15.3
8.03
11.0
21.9
9.15
22.15
11.78
21.68
9.97
14.85
15.75
13.05
15.93
10.4
11.53
16.08
15.05
18.62
6.0
5.4
11.5
11.45
5.53
15.03
7.2
8.15
10.95
10.88
18.25
18.62
18.6
16.1
17.92
11.93
15.43
18.45
14.72
9.07
17.48
8.7
12.25
9.4
8.47
8.95
6.75
10.65
9.55
10.68
15.62
17.38
12.32
9.65
8.22
12.15
16.02
17.02
22.45
26.82
12.18
11.52
9.03
25.88
13.47
8.07
5.05
5.6
18.4
16.5
9.07
14.25
21.05
20.68
11.25
3.5
10.32
13.52
7.08
11.3
6.97
9.3
17.18
10.43
11.03
17.73
9.65
12.0
12.73
4.58
15.97
14.7
14.35
11.85
6.53
9.2
7.8
7.8
6.07
8.62
5.25
8.07
9.02
9.1
9.62
9.38
13.3
21.25
6.42
5.03
6.82
10.2
14.0
6.03
14.95
4.03
5.25
11.07
5.3
5.82
10.68
9.93
9.95
7.15
5.55
12.25
8.07
11.15
8.78
16.02
6.03
6.17
8.57
7.82
5.72
10.85
5.97
9.68
16.27
9.27
13.38
7.82
11.88
6.38
6.82
3.05
6.47
13.3
10.38
8.43
7.5
11.93
5.15
10.55
9.6
13.97
11.28
10.1
11.18
7.17
6.88
8.47
9.32
7.5
14.2
8.53
12.2
16.52
10.18
14.43
20.4
18.15
11.57
16.02
8.05
8.78
10.3
12.6
17.35
14.85
3.25
11.38
10.78
14.1
11.72
10.85
13.05
8.53
9.7
13.93
14.2
12.68
13.57
14.15
16.4
11.55
12.12
7.12
6.75
5.05
7.8
9.43
8.7
9.35
13.15
13.35
8.45
6.22
7.35
18.27
13.7
9.15
22.77
14.47
9.5
11.37
14.07
12.0
15.5
8.8
10.85
10.18
11.32
9.78
8.63
12.72
14.2
18.58
9.45
16.78
10.2
5.82
15.57
20.27
8.62
8.55
7.85
13.95
6.18
4.62
12.07
13.27
13.97
8.97
10.97
14.93
12.35
24.4
17.62
8.68
7.75
19.8
26.18
4.18
7.4
7.75
10.62
12.28
9.93
8.85
11.65
7.35
14.2
17.58
11.93
10.9
10.93
12.45
6.2
14.15
16.82
14.5
26.25
17.32
20.38
10.43
9.62
6.2
6.4
7.6
25.52
11.82
6.28
9.45
12.03
13.28
11.38
14.85
7.75
7.88
7.25
9.65
12.0
10.9
9.57
14.68
6.77
11.43
6.62
6.05
5.68
17.62
7.5
15.23
15.47
17.18
10.82
8.55
9.42
6.18
10.05
10.88
3.55
14.3
16.05
12.75
12.68
12.72
9.55
6.6
15.07
10.3
7.9
8.28
12.38
7.9
5.12
10.3
9.07
8.8
11.45
9.5
5.63
13.18
4.78
6.92
3.83
6.4
7.88
15.62
8.35
9.12
7.05
9.55
14.8
5.82
8.93
